"","V1","V2","V3"
"4863",75,427,6
"4865",75,437,6
"4866",75,442,6
"4867",75,455,6
"4868",75,456,6
"4870",75,467,6
"4875",75,497,6
"4876",75,502,7
"4879",75,514,6
"4880",75,525,4
"4882",75,534,6
"4888",75,574,4
"4889",75,579,4
"4890",75,596,4
"4891",75,598,5
"4893",75,609,4
"4894",75,613,5
"4895",75,626,7
"4896",75,634,6
"4898",75,645,6
"4900",75,661,5
"4901",75,664,6
"4902",75,666,5
"4903",75,678,7
"4904",75,679,4
"4905",75,681,7
"4906",75,696,7
"4907",75,697,6
"4908",75,707,5
"4909",75,720,4
"4910",75,724,7
"4913",75,752,5
"4914",75,754,4
"4915",75,765,4
"4918",75,781,5
"4921",75,794,7
"4923",75,809,7
"4924",75,813,4
"4925",75,824,5
"4926",75,844,7
"4927",75,862,7
"4929",75,881,4
"4931",75,911,7
"4935",75,985,7
"4937",75,1028,6
"4938",75,1030,7
"4939",75,1044,7
"4940",75,1062,4
"4942",75,1074,6
"4943",75,1077,5
"4944",75,1085,4
"4946",75,1104,5
"4947",75,1112,6
"4949",75,1127,6
"4952",75,1175,6
"4953",75,1180,5
"4954",75,1185,6
"4955",75,1203,6
"4957",75,1227,4
"4959",75,1268,6
"4960",75,1274,5
"4961",75,1368,7
"4964",75,1419,4
"4965",75,1437,7
"4966",75,1465,5
"4967",75,1486,7
"4968",75,1492,6
"4969",75,1498,5
"4970",75,1543,5
"4971",75,1555,5
"4975",75,1620,5
"4977",75,1694,5
"4978",75,1704,5
"4980",75,1730,3
"4981",75,1744,3
"4982",75,1759,5
"4983",75,1763,5
"4986",75,1797,7
"4987",75,1799,6
"4989",75,1828,7
"4991",75,1846,7
"4994",75,1875,5
"4995",75,1896,8
"4998",75,1923,6
"4999",75,1947,6
"5002",75,1966,6
"5004",75,1986,4
"5006",75,2006,4
"5010",75,2069,6
"5013",75,2107,6
"5014",75,2118,6
"5016",75,2141,6
"5017",75,2158,6
"5020",75,2192,7
"5021",75,2196,6
"5022",75,2211,9
"5023",75,2230,6
"5024",75,2242,6
"5027",75,2295,6
"5029",75,2327,6
"5030",75,2332,7
"5031",75,2340,6
"5033",75,2381,4
"5034",75,2389,6
"5035",75,2413,7
"5036",75,2418,6
"5037",75,2452,7
"5039",75,2488,6
"5040",75,2498,7
"5042",75,2512,7
"5043",75,2523,4
"5044",75,2535,6
"5045",75,2585,7
